IC_L_7: t= 0.10, L= 100.00, L_straight= 10.00, slack= 90.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.02), Fy_cmd=  0.00, desired= -0.10, ret= -0.01, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.20, L= 100.00, L_straight=  9.99, slack= 90.01, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.04), Fy_cmd=  0.00, desired= -0.10, ret= -0.02, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.30, L= 100.00, L_straight=  9.99, slack= 90.01, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.12), Fy_cmd=  0.00, desired= -0.10, ret= -0.03, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.40, L= 99.99, L_straight=  9.98, slack= 90.02, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.22), Fy_cmd=  0.00, desired= -0.10, ret= -0.03, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.50, L= 99.99, L_straight=  9.96, slack= 90.03, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.34), Fy_cmd=  0.00, desired= -0.10, ret= -0.04, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.60, L= 99.99, L_straight=  9.95, slack= 90.04, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.05, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.70, L= 99.98, L_straight=  9.93, slack= 90.05, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.60), Fy_cmd=  0.00, desired= -0.10, ret= -0.05, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.80, L= 99.98, L_straight=  9.91, slack= 90.06, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.73), Fy_cmd=  0.00, desired= -0.10, ret= -0.06, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.90, L= 99.97, L_straight=  9.89, slack= 90.08, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.84), Fy_cmd=  0.00, desired= -0.10, ret= -0.06, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 1.00, L= 99.97, L_straight=  9.87, slack= 90.09, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.95), Fy_cmd=  0.00, desired= -0.10, ret= -0.07, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 1.10, L= 99.96, L_straight=  9.85, slack= 90.11, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.04), Fy_cmd=  0.00, desired= -0.10, ret= -0.07, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 1.20, L= 99.95, L_straight=  9.82, slack= 90.13, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.12), Fy_cmd=  0.00, desired= -0.10, ret= -0.07, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 1.30, L= 99.94, L_straight=  9.80, slack= 90.14, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.19), Fy_cmd=  0.00, desired= -0.10, ret= -0.07, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 1.40, L= 99.94, L_straight=  9.78, slack= 90.16, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.24), Fy_cmd=  0.00, desired= -0.10, ret= -0.08, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 1.50, L= 99.93, L_straight=  9.75, slack= 90.18, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.29), Fy_cmd=  0.00, desired= -0.10, ret= -0.08, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 1.60, L= 99.92, L_straight=  9.73, slack= 90.20, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.33), Fy_cmd=  0.00, desired= -0.10, ret= -0.08, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 1.70, L= 99.91, L_straight=  9.70, slack= 90.21, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.36), Fy_cmd=  0.00, desired= -0.10, ret= -0.08, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 1.80, L= 99.90, L_straight=  9.67, slack= 90.23, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.38), Fy_cmd=  0.00, desired= -0.10, ret= -0.08, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 1.90, L= 99.90, L_straight=  9.65, slack= 90.25, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.40), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 2.00, L= 99.89, L_straight=  9.62, slack= 90.27, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.42), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 2.10, L= 99.88, L_straight=  9.60, slack= 90.28, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.43), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 2.20, L= 99.87, L_straight=  9.57, slack= 90.30, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.44), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 2.30, L= 99.86, L_straight=  9.54, slack= 90.32, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.45), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 2.40, L= 99.85, L_straight=  9.52, slack= 90.34, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.45), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 2.50, L= 99.84, L_straight=  9.49, slack= 90.35, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 2.60, L= 99.83, L_straight=  9.46, slack= 90.37, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 2.70, L= 99.82, L_straight=  9.44, slack= 90.39, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 2.80, L= 99.81, L_straight=  9.41, slack= 90.41, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 2.90, L= 99.81, L_straight=  9.38, slack= 90.42, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.00, L= 99.80, L_straight=  9.36, slack= 90.44, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.10, L= 99.79, L_straight=  9.33, slack= 90.46, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.20, L= 99.78, L_straight=  9.30, slack= 90.47, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.30, L= 99.77, L_straight=  9.28, slack= 90.49, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.40, L= 99.76, L_straight=  9.25, slack= 90.51, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.50, L= 99.75, L_straight=  9.22, slack= 90.53, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.60, L= 99.74, L_straight=  9.19, slack= 90.54, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.70, L= 99.73, L_straight=  9.17, slack= 90.56, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.80, L= 99.72, L_straight=  9.14, slack= 90.58, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.90, L= 99.71, L_straight=  9.11, slack= 90.59, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
