IC_L_7: t= 0.10, L= 403.00, L_straight= 401.12, slack=  1.88, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.20, L= 403.00, L_straight= 401.12, slack=  1.88, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.30, L= 403.00, L_straight= 401.11, slack=  1.89, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.40, L= 403.00, L_straight= 401.10, slack=  1.90, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00, -0.01), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.50, L= 403.00, L_straight= 401.09, slack=  1.91, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00, -0.01), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.60, L= 403.00, L_straight= 401.07, slack=  1.93, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00, -0.02), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.70, L= 403.00, L_straight= 401.06, slack=  1.94, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00, -0.02), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.80, L= 403.00, L_straight= 401.04, slack=  1.96, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00, -0.02), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.90, L= 403.00, L_straight= 401.02, slack=  1.98, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00, -0.03), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.00, L= 403.00, L_straight= 401.00, slack=  2.00, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00, -0.03), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.10, L= 403.00, L_straight= 400.98, slack=  2.02, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00, -0.03), Fy_cmd=  0.00, desired= -0.11, ret= -0.01, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 1.20, L= 403.00, L_straight= 400.95, slack=  2.05, T_bat= 0.74, T_rov= 0.49, F_drag_cable=( 0.00, -0.04), Fy_cmd=  0.00, desired= -0.12, ret= -0.02, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 1.30, L= 403.00, L_straight= 400.93, slack=  2.07, T_bat= 0.68, T_rov= 0.51, F_drag_cable=( 0.00, -0.04), Fy_cmd=  0.00, desired= -0.13, ret= -0.03, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 1.40, L= 402.99, L_straight= 400.91, slack=  2.09, T_bat= 0.74, T_rov= 0.49, F_drag_cable=( 0.00, -0.04), Fy_cmd=  0.00, desired= -0.14, ret= -0.04, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 1.50, L= 402.99, L_straight= 400.88, slack=  2.11, T_bat= 0.67, T_rov= 0.51, F_drag_cable=( 0.00, -0.04), Fy_cmd=  0.00, desired= -0.15, ret= -0.05, exp=PILOT_ASC_REMOVE_SLACK_ACC
