IC_L_7: t= 0.10, L= 500.00, L_straight= 500.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.10), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.20, L= 500.00, L_straight= 499.99, slack=  0.01, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.22), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.30, L= 500.00, L_straight= 499.99, slack=  0.01, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.59), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.40, L= 500.00, L_straight= 499.98, slack=  0.02, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.10), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.50, L= 500.00, L_straight= 499.96, slack=  0.04, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.70), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.60, L= 500.00, L_straight= 499.95, slack=  0.05, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -2.35), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.70, L= 500.00, L_straight= 499.93, slack=  0.07, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -3.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.80, L= 500.00, L_straight= 499.91, slack=  0.09, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -3.64), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.90, L= 500.00, L_straight= 499.89, slack=  0.11, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -4.22), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.00, L= 500.00, L_straight= 499.87, slack=  0.13, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -4.75), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.10, L= 500.00, L_straight= 499.85, slack=  0.15, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -5.21), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.20, L= 500.00, L_straight= 499.82, slack=  0.18, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -5.60), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.30, L= 500.00, L_straight= 499.80, slack=  0.20, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -5.94), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.40, L= 500.00, L_straight= 499.78, slack=  0.22, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -6.21), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.50, L= 500.00, L_straight= 499.75, slack=  0.25, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -6.44), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.60, L= 500.00, L_straight= 499.73, slack=  0.27, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -6.63), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.70, L= 500.00, L_straight= 499.70, slack=  0.30, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -6.78), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
