[SCEN] t=0.00 scen=Fy crit=(:-5) T_bat=0.5 y=-10.00 x=0.00 L=10.00
IC_L_7: t= 0.10, L= 10.00, L_straight= 10.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd= -5.00, desired=  1.00, ret=  0.10, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.20, L= 10.01, L_straight= 10.00, slack=  0.01, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd= -5.00, desired=  1.00, ret=  0.19, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.30, L= 10.03, L_straight=  9.99, slack=  0.04, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd= -5.00, desired=  1.00, ret=  0.27, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.40, L= 10.06, L_straight=  9.99, slack=  0.07, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd= -5.00, desired=  1.00, ret=  0.34, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.50, L= 10.09, L_straight=  9.98, slack=  0.11, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd= -5.00, desired=  0.97, ret=  0.41, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.60, L= 10.13, L_straight=  9.97, slack=  0.16, T_bat= 0.49, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd= -5.00, desired=  0.78, ret=  0.44, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.70, L= 10.18, L_straight=  9.97, slack=  0.21, T_bat= 0.49, T_rov= 0.50, F_drag_cable=( 0.00, -0.02), Fy_cmd= -5.00, desired=  0.58, ret=  0.46, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.80, L= 10.22, L_straight=  9.96, slack=  0.26, T_bat= 0.49, T_rov= 0.50, F_drag_cable=( 0.00, -0.02), Fy_cmd= -5.00, desired=  0.38, ret=  0.45, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.90, L= 10.27, L_straight=  9.95, slack=  0.32, T_bat= 0.49, T_rov= 0.50, F_drag_cable=( 0.00, -0.02), Fy_cmd= -5.00, desired=  0.20, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 1.00, L= 10.31, L_straight=  9.93, slack=  0.37, T_bat= 0.49, T_rov= 0.50, F_drag_cable=( 0.00, -0.03), Fy_cmd= -5.00, desired=  0.20, ret=  0.40, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 1.10, L= 10.35, L_straight=  9.92, slack=  0.43, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.03), Fy_cmd= -5.00, desired=  0.10, ret=  0.37, exp=PILOT_DESC_ACC
IC_L_7: t= 1.20, L= 10.39, L_straight=  9.91, slack=  0.48, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.04), Fy_cmd= -5.00, desired=  0.10, ret=  0.34, exp=PILOT_DESC_ACC
IC_L_7: t= 1.30, L= 10.42, L_straight=  9.89, slack=  0.52, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.04), Fy_cmd= -5.00, desired=  0.10, ret=  0.32, exp=PILOT_DESC_ACC
IC_L_7: t= 1.40, L= 10.45, L_straight=  9.88, slack=  0.57, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.04), Fy_cmd= -5.00, desired=  0.10, ret=  0.30, exp=PILOT_DESC_ACC
IC_L_7: t= 1.50, L= 10.48, L_straight=  9.87, slack=  0.62, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.05), Fy_cmd= -5.00, desired=  0.10, ret=  0.28, exp=PILOT_DESC_ACC
IC_L_7: t= 1.60, L= 10.51, L_straight=  9.85, slack=  0.66, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.05), Fy_cmd= -5.00, desired=  0.10, ret=  0.26, exp=PILOT_DESC_ACC
IC_L_7: t= 1.70, L= 10.54, L_straight=  9.83, slack=  0.70, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.05), Fy_cmd= -5.00, desired=  0.10, ret=  0.24, exp=PILOT_DESC_ACC
IC_L_7: t= 1.80, L= 10.56, L_straight=  9.82, slack=  0.74, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.06), Fy_cmd= -5.00, desired=  0.10, ret=  0.23, exp=PILOT_DESC_ACC
IC_L_7: t= 1.90, L= 10.58, L_straight=  9.80, slack=  0.78, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.06), Fy_cmd= -5.00, desired=  0.10, ret=  0.22, exp=PILOT_DESC_ACC
IC_L_7: t= 2.00, L= 10.60, L_straight=  9.79, slack=  0.82, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.06), Fy_cmd= -5.00, desired=  0.10, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 2.10, L= 10.62, L_straight=  9.77, slack=  0.86, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.06), Fy_cmd= -5.00, desired=  0.10, ret=  0.19, exp=PILOT_DESC_ACC
IC_L_7: t= 2.20, L= 10.64, L_straight=  9.75, slack=  0.89, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.06), Fy_cmd= -5.00, desired=  0.10, ret=  0.19, exp=PILOT_DESC_ACC
IC_L_7: t= 2.30, L= 10.66, L_straight=  9.73, slack=  0.93, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.18, exp=PILOT_DESC_ACC
IC_L_7: t= 2.40, L= 10.68, L_straight=  9.72, slack=  0.96, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.17, exp=PILOT_DESC_ACC
IC_L_7: t= 2.50, L= 10.70, L_straight=  9.70, slack=  1.00, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.16, exp=PILOT_DESC_ACC
IC_L_7: t= 2.60, L= 10.71, L_straight=  9.68, slack=  1.03, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.16, exp=PILOT_DESC_ACC
IC_L_7: t= 2.70, L= 10.73, L_straight=  9.66, slack=  1.06, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.15, exp=PILOT_DESC_ACC
IC_L_7: t= 2.80, L= 10.74, L_straight=  9.65, slack=  1.10, T_bat= 0.48, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.15, exp=PILOT_DESC_ACC
IC_L_7: t= 2.90, L= 10.76, L_straight=  9.63, slack=  1.13, T_bat= 0.49, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.14, exp=PILOT_DESC_ACC
IC_L_7: t= 3.00, L= 10.77, L_straight=  9.61, slack=  1.16, T_bat= 0.49, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.14, exp=PILOT_DESC_ACC
IC_L_7: t= 3.10, L= 10.79, L_straight=  9.59, slack=  1.19, T_bat= 0.49, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.13, exp=PILOT_DESC_ACC
IC_L_7: t= 3.20, L= 10.80, L_straight=  9.57, slack=  1.22, T_bat= 0.49, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.13, exp=PILOT_DESC_ACC
IC_L_7: t= 3.30, L= 10.81, L_straight=  9.56, slack=  1.26, T_bat= 0.49, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.13, exp=PILOT_DESC_ACC
IC_L_7: t= 3.40, L= 10.82, L_straight=  9.54, slack=  1.29, T_bat= 0.49, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.12, exp=PILOT_DESC_ACC
IC_L_7: t= 3.50, L= 10.84, L_straight=  9.52, slack=  1.32, T_bat= 0.49, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.12, exp=PILOT_DESC_ACC
IC_L_7: t= 3.60, L= 10.85, L_straight=  9.50, slack=  1.35, T_bat= 0.49, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.12, exp=PILOT_DESC_ACC
IC_L_7: t= 3.70, L= 10.86, L_straight=  9.48, slack=  1.38, T_bat= 0.49, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.12, exp=PILOT_DESC_ACC
IC_L_7: t= 3.80, L= 10.87, L_straight=  9.47, slack=  1.41, T_bat= 0.49, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.12, exp=PILOT_DESC_ACC
IC_L_7: t= 3.90, L= 10.88, L_straight=  9.45, slack=  1.44, T_bat= 0.49, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.11, exp=PILOT_DESC_ACC
IC_L_7: t= 4.00, L= 10.90, L_straight=  9.43, slack=  1.47, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.11, exp=PILOT_DESC_ACC
IC_L_7: t= 4.10, L= 10.91, L_straight=  9.41, slack=  1.50, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.11, exp=PILOT_DESC_ACC
IC_L_7: t= 4.20, L= 10.92, L_straight=  9.39, slack=  1.53, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.11, exp=PILOT_DESC_ACC
IC_L_7: t= 4.30, L= 10.93, L_straight=  9.37, slack=  1.55, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.11, exp=PILOT_DESC_ACC
IC_L_7: t= 4.40, L= 10.94, L_straight=  9.36, slack=  1.58, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.10, ret=  0.11, exp=PILOT_DESC_ACC
IC_L_7: t= 4.50, L= 10.95, L_straight=  9.34, slack=  1.61, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd= -5.00, desired=  0.09, ret=  0.11, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 4.60, L= 10.96, L_straight=  9.32, slack=  1.64, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.08), Fy_cmd= -5.00, desired=  0.08, ret=  0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 4.70, L= 10.97, L_straight=  9.30, slack=  1.67, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.08), Fy_cmd= -5.00, desired=  0.06, ret=  0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 4.80, L= 10.98, L_straight=  9.28, slack=  1.70, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.08), Fy_cmd= -5.00, desired=  0.05, ret=  0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 4.90, L= 10.99, L_straight=  9.27, slack=  1.73, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.08), Fy_cmd= -5.00, desired=  0.04, ret=  0.09, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.00, L= 11.00, L_straight=  9.25, slack=  1.75, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.08), Fy_cmd= -5.00, desired=  0.02, ret=  0.08, exp=PILOT_DESC_SLACK_CAP_ACC
[SCEN] t=5.10 scen=Fy crit=(t>5:-10) T_bat=0.499561440481754 y=-9.23 x=0.00 L=11.01
IC_L_7: t= 5.10, L= 11.01, L_straight=  9.23, slack=  1.78, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.08), Fy_cmd= -5.00, desired=  0.01, ret=  0.08, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.20, L= 11.02, L_straight=  9.21, slack=  1.81, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.07), Fy_cmd=-10.00, desired= -0.00, ret=  0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.30, L= 11.02, L_straight=  9.20, slack=  1.83, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.06), Fy_cmd=-10.00, desired= -0.01, ret=  0.06, exp=PILOT_DESC_SLACK_CAP_ACC
