[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
AUTO_L_6: t=0.10, L= 110.00, est_dT_dL=   0.00, y_rov=-100.00, vy_rov= -0.01, T=0.81, prev_cmd=  0.00, ret1= -0.02, ret= -0.02, dL_dt=  0.00, dt=  0.10, Gamma=  0.50, desired= -0.20, exp=REG_SIGN_ACC
AUTO_L_6: t=0.20, L= 110.00, est_dT_dL=-347.25, y_rov=-100.01, vy_rov= -0.13, T=1.07, prev_cmd= -0.02, ret1= -0.02, ret= -0.02, dL_dt= -0.02, dt=  0.10, Gamma=  0.50, desired= -0.01, exp=REG_T_ACC
AUTO_L_6: t=0.30, L= 110.00, est_dT_dL=-997.30, y_rov=-100.04, vy_rov= -0.30, T=4.23, prev_cmd= -0.02, ret1= -0.02, ret= -0.02, dL_dt= -0.02, dt=  0.10, Gamma=  0.50, desired= -0.00, exp=REG_T_ACC
AUTO_L_6: t=0.40, L= 109.99, est_dT_dL=-1531.34, y_rov=-100.09, vy_rov= -0.43, T=8.85, prev_cmd= -0.02, ret1= -0.01, ret= -0.01, dL_dt= -0.02, dt=  0.10, Gamma=  0.50, desired=  0.00, exp=REG_T_ACC
AUTO_L_6: t=0.50, L= 109.99, est_dT_dL=-1821.92, y_rov=-100.14, vy_rov= -0.53, T=13.18, prev_cmd= -0.01, ret1= -0.01, ret= -0.01, dL_dt= -0.01, dt=  0.10, Gamma=  0.50, desired=  0.00, exp=REG_T_ACC
AUTO_L_6: t=0.60, L= 109.99, est_dT_dL=-1925.29, y_rov=-100.20, vy_rov= -0.59, T=16.45, prev_cmd= -0.01, ret1= -0.01, ret= -0.01, dL_dt= -0.01, dt=  0.10, Gamma=  0.50, desired=  0.00, exp=REG_T_ACC
AUTO_L_6: t=0.70, L= 109.99, est_dT_dL=-1920.22, y_rov=-100.26, vy_rov= -0.62, T=18.64, prev_cmd= -0.01, ret1= -0.01, ret= -0.01, dL_dt= -0.01, dt=  0.10, Gamma=  0.50, desired=  0.00, exp=REG_T_ACC
AUTO_L_6: t=0.80, L= 109.99, est_dT_dL=-1864.88, y_rov=-100.33, vy_rov= -0.65, T=20.00, prev_cmd= -0.01, ret1= -0.01, ret= -0.01, dL_dt= -0.01, dt=  0.10, Gamma=  0.50, desired=  0.00, exp=REG_T_ACC
AUTO_L_6: t=0.90, L= 109.99, est_dT_dL=-1793.33, y_rov=-100.39, vy_rov= -0.66, T=20.80, prev_cmd= -0.01, ret1= -0.01, ret= -0.01, dL_dt= -0.01, dt=  0.10, Gamma=  0.50, desired=  0.00, exp=REG_T_ACC
AUTO_L_6: t=1.00, L= 109.99, est_dT_dL=-1722.62, y_rov=-100.46, vy_rov= -0.66, T=21.26, prev_cmd= -0.01, ret1= -0.01, ret= -0.01, dL_dt= -0.01, dt=  0.10, Gamma=  0.50, desired=  0.00, exp=REG_T_ACC
AUTO_L_6: t=1.10, L= 109.99, est_dT_dL=-1626.51, y_rov=-100.53, vy_rov= -0.67, T=21.53, prev_cmd= -0.01, ret1= -0.01, ret= -0.01, dL_dt= -0.01, dt=  0.10, Gamma=  0.50, desired=  0.01, exp=REG_T_ACC
